time,freq,dur,vel,name
0.756,493.88,0.756,0.5,B4
1.513,174.61,1.513,0.5,F3
1.513,261.63,1.513,0.5,C4
1.513,207.65,1.513,0.5,G#3
1.513,523.25,1.261,0.5,C5
2.773,415.3,0.252,0.5,G#4
3.025,164.81,1.513,0.5,E3
3.025,207.65,1.513,0.5,G#3
3.025,261.63,1.513,0.5,C4
3.025,466.16,0.504,0.5,A#4
3.529,523.25,1.008,0.5,C5
4.538,155.56,1.513,0.5,D#3
4.538,207.65,1.513,0.5,G#3
4.538,261.63,1.513,0.5,C4
4.538,466.16,0.252,0.5,A#4
4.79,415.3,0.252,0.5,G#4
5.042,466.16,0.252,0.5,A#4
5.294,466.16,0.252,0.5,A#4
5.546,466.16,0.252,0.5,A#4
5.798,493.88,0.252,0.5,B4
6.05,146.83,1.513,0.5,D3
6.05,174.61,1.513,0.5,F3
6.05,261.63,1.513,0.5,C4
6.05,207.65,1.513,0.5,G#3
6.05,523.25,0.504,0.5,C5
6.555,349.23,1.008,0.5,F4
7.563,138.59,1.513,0.5,C#3
7.563,174.61,1.513,0.5,F3
7.563,207.65,1.513,0.5,G#3
7.815,349.23,0.252,0.5,F4
8.067,261.63,0.252,0.5,C4
8.319,349.23,0.252,0.5,F4
8.571,415.3,0.252,0.5,G#4
8.824,349.23,0.252,0.5,F4
9.076,130.81,1.513,0.5,C3
9.076,164.81,1.513,0.5,E3
9.076,196,1.513,0.5,G3
9.076,233.08,1.513,0.5,A#3
9.076,261.63,0.252,0.5,C4
9.328,349.23,0.252,0.5,F4
9.58,415.3,0.252,0.5,G#4
9.832,349.23,0.252,0.5,F4
10.084,261.63,0.252,0.5,C4
10.336,349.23,0.252,0.5,F4
10.588,174.61,1.513,0.5,F3
10.588,207.65,1.513,0.5,G#3
10.588,261.63,1.513,0.5,C4
10.588,392,0.504,0.5,G4
11.092,415.3,1.008,0.5,G#4
0.756,493.88,0.756,0.5,B4
1.513,174.61,1.513,0.5,F3
1.513,207.65,1.513,0.5,G#3
1.513,261.63,1.513,0.5,C4
1.513,523.25,1.261,0.5,C5
2.773,415.3,0.252,0.5,G#4
3.025,261.63,1.513,0.5,C4
3.025,164.81,1.513,0.5,E3
3.025,207.65,1.513,0.5,G#3
3.025,466.16,0.504,0.5,A#4
3.529,523.25,1.008,0.5,C5
4.538,155.56,1.513,0.5,D#3
4.538,261.63,1.513,0.5,C4
4.538,207.65,1.513,0.5,G#3
4.538,466.16,0.252,0.5,A#4
4.79,415.3,0.252,0.5,G#4
5.042,466.16,0.252,0.5,A#4
5.294,466.16,0.252,0.5,A#4
5.546,466.16,0.252,0.5,A#4
5.798,493.88,0.252,0.5,B4
6.05,174.61,1.513,0.5,F3
6.05,207.65,1.513,0.5,G#3
6.05,146.83,1.513,0.5,D3
6.05,261.63,1.513,0.5,C4
6.05,523.25,0.504,0.5,C5
6.555,349.23,1.008,0.5,F4
7.563,174.61,1.513,0.5,F3
7.563,207.65,1.513,0.5,G#3
7.563,138.59,1.513,0.5,C#3
7.815,349.23,0.252,0.5,F4
8.067,261.63,0.252,0.5,C4
8.319,349.23,0.252,0.5,F4
8.571,415.3,0.252,0.5,G#4
8.824,349.23,0.252,0.5,F4
9.076,196,1.513,0.5,G3
9.076,164.81,1.513,0.5,E3
9.076,233.08,1.513,0.5,A#3
9.076,130.81,1.513,0.5,C3
9.076,261.63,0.252,0.5,C4
9.328,349.23,0.252,0.5,F4
9.58,415.3,0.252,0.5,G#4
9.832,349.23,0.252,0.5,F4
10.084,261.63,0.252,0.5,C4
10.336,349.23,0.252,0.5,F4
10.588,174.61,1.513,0.5,F3
10.588,261.63,1.513,0.5,C4
10.588,207.65,1.513,0.5,G#3
10.588,392,0.504,0.5,G4
11.092,415.3,1.008,0.5,G#4
12.101,164.81,0.756,0.5,E3
12.101,196,0.756,0.5,G3
12.101,130.81,0.756,0.5,C3
12.101,261.63,0.756,0.5,C4
12.353,392,0.504,0.5,G4
12.353,329.63,0.504,0.5,E4
12.353,466.16,0.504,0.5,A#4
12.857,329.63,0.504,0.5,E4
12.857,392,0.504,0.5,G4
12.857,466.16,0.504,0.5,A#4
0,261.63,0.252,0.5,C4
0.252,110,1.513,0.5,A2
0.252,130.81,1.513,0.5,C3
0.252,174.61,1.513,0.5,F3
0.252,87.31,1.513,0.5,F2
0.252,329.63,0.504,0.5,E4
0.756,349.23,0.756,0.5,F4
1.513,349.23,0.252,0.5,F4
1.765,110,0.756,0.5,A2
1.765,130.81,0.756,0.5,C3
1.765,174.61,0.756,0.5,F3
1.765,87.31,0.756,0.5,F2
1.765,329.63,0.504,0.5,E4
2.269,349.23,0.252,0.5,F4
2.521,87.31,0.252,0.5,F2
2.521,392,0.504,0.5,G4
2.773,98,0.252,0.5,G2
3.025,103.83,0.252,0.5,G#2
3.025,349.23,0.252,0.5,F4
3.277,110,1.513,0.5,A2
3.277,164.81,1.513,0.5,E3
3.277,196,1.513,0.5,G3
3.277,138.59,1.513,0.5,C#3
3.277,329.63,0.504,0.5,E4
3.782,349.23,0.756,0.5,F4
4.538,349.23,0.252,0.5,F4
4.79,110,0.756,0.5,A2
4.79,164.81,0.756,0.5,E3
4.79,138.59,0.756,0.5,C#3
4.79,196,0.756,0.5,G3
4.79,329.63,0.504,0.5,E4
5.294,349.23,0.252,0.5,F4
5.546,110,0.252,0.5,A2
5.546,392,0.504,0.5,G4
5.798,123.47,0.252,0.5,B2
6.05,138.59,0.252,0.5,C#3
6.05,349.23,0.252,0.5,F4
6.303,146.83,1.513,0.5,D3
6.303,174.61,1.513,0.5,F3
6.303,220,1.513,0.5,A3
6.303,329.63,0.504,0.5,E4
6.807,349.23,0.252,0.5,F4
7.059,440,0.252,0.5,A4
7.311,349.23,0.252,0.5,F4
7.563,349.23,0.504,0.5,F4
7.815,146.83,1.513,0.5,D3
7.815,174.61,1.513,0.5,F3
7.815,220,1.513,0.5,A3
8.067,349.23,0.252,0.5,F4
8.319,293.66,0.252,0.5,D4
8.571,293.66,0.504,0.5,D4
9.076,349.23,0.252,0.5,F4
9.328,138.59,1.513,0.5,C#3
9.328,174.61,1.513,0.5,F3
9.328,116.54,1.513,0.5,A#2
9.328,207.65,1.513,0.5,G#3
9.328,415.3,0.252,0.5,G#4
9.58,415.3,0.252,0.5,G#4
9.832,415.3,0.756,0.5,G#4
10.588,349.23,0.252,0.5,F4
10.84,164.81,1.513,0.5,E3
10.84,196,1.513,0.5,G3
10.84,130.81,1.513,0.5,C3
10.84,261.63,1.513,0.5,C4
10.84,415.3,0.252,0.5,G#4
11.092,415.3,0.252,0.5,G#4
11.345,392,0.756,0.5,G4
0,392,0.252,0.5,G4
0.252,110,1.513,0.5,A2
0.252,130.81,1.513,0.5,C3
0.252,174.61,1.513,0.5,F3
0.252,87.31,1.513,0.5,F2
0.252,329.63,0.504,0.5,E4
0.756,349.23,0.756,0.5,F4
1.513,349.23,0.252,0.5,F4
1.765,110,0.756,0.5,A2
1.765,130.81,0.756,0.5,C3
1.765,174.61,0.756,0.5,F3
1.765,87.31,0.756,0.5,F2
1.765,329.63,0.504,0.5,E4
2.269,349.23,0.252,0.5,F4
2.521,87.31,0.252,0.5,F2
2.521,392,0.504,0.5,G4
2.773,98,0.252,0.5,G2
3.025,103.83,0.252,0.5,G#2
3.025,349.23,0.252,0.5,F4
3.277,110,1.513,0.5,A2
3.277,164.81,1.513,0.5,E3
3.277,196,1.513,0.5,G3
3.277,138.59,1.513,0.5,C#3
3.277,329.63,0.504,0.5,E4
3.782,349.23,0.756,0.5,F4
4.538,349.23,0.252,0.5,F4
4.79,110,0.756,0.5,A2
4.79,164.81,0.756,0.5,E3
4.79,138.59,0.756,0.5,C#3
4.79,196,0.756,0.5,G3
4.79,329.63,0.504,0.5,E4
5.294,349.23,0.252,0.5,F4
5.546,110,0.252,0.5,A2
5.546,392,0.504,0.5,G4
5.798,123.47,0.252,0.5,B2
6.05,138.59,0.252,0.5,C#3
6.05,349.23,0.252,0.5,F4
6.303,146.83,1.513,0.5,D3
6.303,174.61,1.513,0.5,F3
6.303,220,1.513,0.5,A3
6.303,329.63,0.504,0.5,E4
6.807,349.23,0.252,0.5,F4
7.059,440,0.252,0.5,A4
7.311,349.23,0.252,0.5,F4
7.563,349.23,0.504,0.5,F4
7.815,146.83,1.513,0.5,D3
7.815,174.61,1.513,0.5,F3
7.815,220,1.513,0.5,A3
8.067,349.23,0.252,0.5,F4
8.319,293.66,0.252,0.5,D4
8.571,293.66,0.504,0.5,D4
9.076,349.23,0.252,0.5,F4
9.328,138.59,1.513,0.5,C#3
9.328,174.61,1.513,0.5,F3
9.328,116.54,1.513,0.5,A#2
9.328,207.65,1.513,0.5,G#3
9.328,415.3,0.252,0.5,G#4
9.58,415.3,0.252,0.5,G#4
9.832,415.3,0.756,0.5,G#4
10.588,349.23,0.252,0.5,F4
10.84,164.81,1.513,0.5,E3
10.84,196,1.513,0.5,G3
10.84,130.81,1.513,0.5,C3
10.84,261.63,1.513,0.5,C4
10.84,415.3,0.252,0.5,G#4
11.092,415.3,0.252,0.5,G#4
11.345,392,1.008,0.5,G4
0.252,130.81,1.513,0.5,C3
0.252,103.83,1.513,0.5,G#2
0.252,87.31,1.513,0.5,F2
0.252,174.61,1.513,0.5,F3
0.504,369.99,0.504,0.5,F#4
1.008,349.23,0.756,0.5,F4
1.765,116.54,1.513,0.5,A#2
1.765,174.61,1.513,0.5,F3
1.765,146.83,1.513,0.5,D3
1.765,207.65,1.513,0.5,G#3
2.017,293.66,0.504,0.5,D4
2.017,349.23,0.504,0.5,F4
2.017,415.3,0.504,0.5,G#4
2.521,349.23,0.756,0.5,F4
2.521,415.3,0.756,0.5,G#4
2.521,293.66,0.756,0.5,D4
3.277,103.83,1.513,0.5,G#2
3.277,130.81,1.513,0.5,C3
3.277,87.31,1.513,0.5,F2
3.277,174.61,1.513,0.5,F3
3.529,415.3,0.504,0.5,G#4
3.529,311.13,0.504,0.5,D#4
3.529,349.23,0.504,0.5,F4
3.529,523.25,0.504,0.5,C5
4.034,415.3,0.756,0.5,G#4
4.034,523.25,0.756,0.5,C5
4.034,311.13,0.756,0.5,D#4
4.034,349.23,0.756,0.5,F4
4.79,174.61,1.513,0.5,F3
4.79,146.83,1.513,0.5,D3
4.79,116.54,1.513,0.5,A#2
4.79,207.65,1.513,0.5,G#3
5.042,349.23,0.504,0.5,F4
5.042,293.66,0.504,0.5,D4
5.042,415.3,0.504,0.5,G#4
5.546,349.23,0.756,0.5,F4
5.546,293.66,0.756,0.5,D4
5.546,415.3,0.756,0.5,G#4
6.303,103.83,1.513,0.5,G#2
6.303,130.81,1.513,0.5,C3
6.303,87.31,1.513,0.5,F2
6.303,174.61,1.513,0.5,F3
6.555,415.3,0.504,0.5,G#4
6.555,311.13,0.504,0.5,D#4
6.555,349.23,0.504,0.5,F4
6.555,523.25,0.504,0.5,C5
7.059,415.3,0.756,0.5,G#4
7.059,523.25,0.756,0.5,C5
7.059,311.13,0.756,0.5,D#4
7.059,349.23,0.756,0.5,F4
7.815,174.61,1.513,0.5,F3
7.815,146.83,1.513,0.5,D3
7.815,116.54,1.513,0.5,A#2
7.815,207.65,1.513,0.5,G#3
8.067,349.23,0.504,0.5,F4
8.067,293.66,0.504,0.5,D4
8.067,415.3,0.504,0.5,G#4
8.571,349.23,0.756,0.5,F4
8.571,293.66,0.756,0.5,D4
8.571,415.3,0.756,0.5,G#4
9.328,103.83,1.513,0.5,G#2
9.328,130.81,1.513,0.5,C3
9.328,87.31,1.513,0.5,F2
9.328,174.61,1.513,0.5,F3
9.58,415.3,0.504,0.5,G#4
9.58,311.13,0.504,0.5,D#4
9.58,349.23,0.504,0.5,F4
9.58,523.25,0.504,0.5,C5
10.084,415.3,0.756,0.5,G#4
10.084,523.25,0.756,0.5,C5
10.084,311.13,0.756,0.5,D#4
10.084,349.23,0.756,0.5,F4
10.84,116.54,1.513,0.5,A#2
10.84,207.65,1.513,0.5,G#3
10.84,146.83,1.513,0.5,D3
10.84,174.61,1.513,0.5,F3
11.092,349.23,0.252,0.5,F4
11.092,415.3,0.252,0.5,G#4
11.092,293.66,0.252,0.5,D4
0,493.88,0.756,0.5,B4
0.756,174.61,1.513,0.5,F3
0.756,207.65,1.513,0.5,G#3
0.756,261.63,1.513,0.5,C4
0.756,523.25,1.261,0.5,C5
2.017,415.3,0.252,0.5,G#4
2.269,261.63,1.513,0.5,C4
2.269,164.81,1.513,0.5,E3
2.269,207.65,1.513,0.5,G#3
2.269,466.16,0.504,0.5,A#4
2.773,523.25,1.008,0.5,C5
3.782,155.56,1.513,0.5,D#3
3.782,261.63,1.513,0.5,C4
3.782,207.65,1.513,0.5,G#3
3.782,466.16,0.252,0.5,A#4
4.034,415.3,0.252,0.5,G#4
4.286,466.16,0.252,0.5,A#4
4.538,466.16,0.252,0.5,A#4
4.79,466.16,0.252,0.5,A#4
5.042,493.88,0.252,0.5,B4
5.294,174.61,1.513,0.5,F3
5.294,207.65,1.513,0.5,G#3
5.294,146.83,1.513,0.5,D3
5.294,261.63,1.513,0.5,C4
5.294,523.25,0.504,0.5,C5
5.798,349.23,1.008,0.5,F4
6.807,174.61,1.513,0.5,F3
6.807,207.65,1.513,0.5,G#3
6.807,138.59,1.513,0.5,C#3
7.059,349.23,0.252,0.5,F4
7.311,261.63,0.252,0.5,C4
7.563,349.23,0.252,0.5,F4
7.815,415.3,0.252,0.5,G#4
8.067,349.23,0.252,0.5,F4
8.319,196,1.513,0.5,G3
8.319,164.81,1.513,0.5,E3
8.319,233.08,1.513,0.5,A#3
8.319,130.81,1.513,0.5,C3
8.319,261.63,0.252,0.5,C4
8.571,349.23,0.252,0.5,F4
8.824,415.3,0.252,0.5,G#4
9.076,349.23,0.252,0.5,F4
9.328,261.63,0.252,0.5,C4
9.58,349.23,0.252,0.5,F4
9.832,174.61,1.513,0.5,F3
9.832,261.63,1.513,0.5,C4
9.832,207.65,1.513,0.5,G#3
9.832,392,0.504,0.5,G4
10.336,415.3,1.008,0.5,G#4
11.345,196,1.513,0.5,G3
11.345,164.81,1.513,0.5,E3
11.345,130.81,1.513,0.5,C3
11.345,261.63,1.513,0.5,C4
11.597,392,0.504,0.5,G4
11.597,329.63,0.504,0.5,E4
11.597,466.16,0.504,0.5,A#4
0,493.88,0.756,0.5,B4
0.756,174.61,1.513,0.5,F3
0.756,207.65,1.513,0.5,G#3
0.756,261.63,1.513,0.5,C4
0.756,523.25,1.261,0.5,C5
2.017,415.3,0.252,0.5,G#4
2.269,261.63,1.513,0.5,C4
2.269,164.81,1.513,0.5,E3
2.269,207.65,1.513,0.5,G#3
2.269,466.16,0.504,0.5,A#4
2.773,523.25,1.008,0.5,C5
3.782,155.56,1.513,0.5,D#3
3.782,261.63,1.513,0.5,C4
3.782,207.65,1.513,0.5,G#3
3.782,466.16,0.252,0.5,A#4
4.034,415.3,0.252,0.5,G#4
4.286,466.16,0.252,0.5,A#4
4.538,466.16,0.252,0.5,A#4
4.79,466.16,0.252,0.5,A#4
5.042,493.88,0.252,0.5,B4
5.294,174.61,1.513,0.5,F3
5.294,207.65,1.513,0.5,G#3
5.294,146.83,1.513,0.5,D3
5.294,261.63,1.513,0.5,C4
5.294,523.25,0.504,0.5,C5
5.798,349.23,1.008,0.5,F4
6.807,174.61,1.513,0.5,F3
6.807,207.65,1.513,0.5,G#3
6.807,138.59,1.513,0.5,C#3
7.059,349.23,0.252,0.5,F4
7.311,261.63,0.252,0.5,C4
7.563,349.23,0.252,0.5,F4
7.815,415.3,0.252,0.5,G#4
8.067,349.23,0.252,0.5,F4
8.319,196,1.513,0.5,G3
8.319,164.81,1.513,0.5,E3
8.319,233.08,1.513,0.5,A#3
8.319,130.81,1.513,0.5,C3
8.319,261.63,0.252,0.5,C4
8.571,349.23,0.252,0.5,F4
8.824,415.3,0.252,0.5,G#4
9.076,349.23,0.252,0.5,F4
9.328,261.63,0.252,0.5,C4
9.58,349.23,0.252,0.5,F4
9.832,174.61,1.513,0.5,F3
9.832,261.63,1.513,0.5,C4
9.832,207.65,1.513,0.5,G#3
9.832,392,0.504,0.5,G4
10.336,415.3,1.008,0.5,G#4
11.345,164.81,0.756,0.5,E3
11.345,196,0.756,0.5,G3
11.345,130.81,0.756,0.5,C3
11.597,466.16,0.504,0.5,A#4
12.101,440,0.504,0.5,A4
0,261.63,0.252,0.5,C4
0.252,110,1.513,0.5,A2
0.252,130.81,1.513,0.5,C3
0.252,174.61,1.513,0.5,F3
0.252,87.31,1.513,0.5,F2
0.252,329.63,0.504,0.5,E4
0.756,349.23,0.756,0.5,F4
1.513,349.23,0.252,0.5,F4
1.765,110,0.756,0.5,A2
1.765,130.81,0.756,0.5,C3
1.765,174.61,0.756,0.5,F3
1.765,87.31,0.756,0.5,F2
1.765,329.63,0.504,0.5,E4
2.269,349.23,0.252,0.5,F4
2.521,87.31,0.252,0.5,F2
2.521,392,0.504,0.5,G4
2.773,98,0.252,0.5,G2
3.025,103.83,0.252,0.5,G#2
3.025,349.23,0.252,0.5,F4
3.277,110,1.513,0.5,A2
3.277,164.81,1.513,0.5,E3
3.277,196,1.513,0.5,G3
3.277,138.59,1.513,0.5,C#3
3.277,329.63,0.504,0.5,E4
3.782,349.23,0.756,0.5,F4
4.538,349.23,0.252,0.5,F4
4.79,110,0.756,0.5,A2
4.79,164.81,0.756,0.5,E3
4.79,138.59,0.756,0.5,C#3
4.79,196,0.756,0.5,G3
4.79,329.63,0.504,0.5,E4
5.294,349.23,0.252,0.5,F4
5.546,110,0.252,0.5,A2
5.546,392,0.504,0.5,G4
5.798,123.47,0.252,0.5,B2
6.05,138.59,0.252,0.5,C#3
6.05,349.23,0.252,0.5,F4
6.303,146.83,1.513,0.5,D3
6.303,174.61,1.513,0.5,F3
6.303,220,1.513,0.5,A3
6.303,329.63,0.504,0.5,E4
