time,freq,dur,vel,name,hand
0.031029,164.813778,0.615677,0.582677,E3,left
0.060425,82.406889,0.331518,0.543307,E2,left
0.060425,415.304698,0.360914,0.574803,G#4,right
0.207403,622.253967,0.439303,0.503937,D#5,right
0.391943,207.652349,0.351116,0.527559,G#3,left
0.391943,246.941651,0.287425,0.551181,B3,left
0.391943,311.126984,0.287425,0.551181,D#4,right
0.421339,415.304698,0.609145,0.527559,G#4,right
0.743058,207.652349,0.383777,0.519685,G#3,left
0.743058,246.941651,0.256396,0.551181,B3,left
0.743058,311.126984,0.256396,0.559055,D#4,right
1.094174,554.365262,0.449101,0.543307,C#5,right
1.126836,164.813778,0.191072,0.535433,E3,left
1.126836,369.994423,0.416439,0.519685,F#4,right
1.285246,207.652349,0.352749,0.511811,G#3,left
1.285246,246.941651,0.258029,0.543307,B3,left
1.285246,311.126984,0.258029,0.543307,D#4,right
1.669024,164.813778,0.161676,0.543307,E3,left
1.830700,207.652349,0.352749,0.519685,G#3,left
1.830700,246.941651,0.287425,0.543307,B3,left
1.830700,311.126984,0.287425,0.551181,D#4,right
2.183449,207.652349,0.383777,0.503937,G#3,left
2.183449,246.941651,0.349482,0.535433,B3,left
2.214477,311.126984,0.318454,0.535433,D#4,right
2.532931,246.941651,0.418072,0.551181,B3,left
2.532931,311.126984,0.992922,0.543307,D#4,right
2.567226,164.813778,0.349482,0.511811,E3,left
2.567226,207.652349,0.349482,0.503937,G#3,left
2.885680,103.826174,0.352749,0.527559,G#2,left
2.916708,207.652349,0.352749,0.543307,G#3,left
3.238428,246.941651,0.287425,0.535433,B3,left
3.269457,155.563492,0.256396,0.488189,D#3,left
3.269457,207.652349,0.256396,0.527559,G#3,left
3.269457,415.304698,0.383777,0.527559,G#4,right
3.269457,622.253967,0.063691,0.535433,D#5,right
3.622206,155.563492,0.256396,0.496063,D#3,left
3.622206,246.941651,0.256396,0.535433,B3,left
3.622206,622.253967,0.256396,0.535433,D#5,right
3.653235,415.304698,0.321720,0.527559,G#4,right
3.974954,103.826174,0.287425,0.472441,G#2,left
3.974954,554.365262,0.223734,0.511811,C#5,right
4.038645,369.994423,0.223734,0.472441,F#4,right
4.167660,155.563492,0.285792,0.503937,D#3,left
4.167660,246.941651,0.285792,0.535433,B3,left
4.167660,622.253967,0.254763,0.535433,D#5,right
4.198688,415.304698,0.449101,0.511811,G#4,right
4.551437,103.826174,0.253130,0.511811,G#2,left
4.709847,155.563492,0.280892,0.511811,D#3,left
4.709847,246.941651,0.342950,0.543307,B3,left
5.052797,155.563492,0.280892,0.527559,D#3,left
5.052797,207.652349,0.373979,0.527559,G#3,left
5.052797,246.941651,0.373979,0.535433,B3,left
5.426776,155.563492,0.352749,0.503937,D#3,left
5.426776,207.652349,0.516058,0.519685,G#3,left
5.426776,246.941651,0.516058,0.519685,B3,left
5.426776,415.304698,1.321174,0.559055,G#4,right
5.779525,164.813778,0.195971,0.566929,E3,left
5.975496,164.813778,0.166576,0.496063,E3,left
6.142072,207.652349,0.285792,0.503937,G#3,left
6.142072,246.941651,0.254763,0.519685,B3,left
6.142072,311.126984,0.349482,0.543307,D#4,right
6.491554,207.652349,0.289058,0.511811,G#3,left
6.491554,246.941651,0.256396,0.551181,B3,left
6.491554,311.126984,0.416439,0.551181,D#4,right
6.844303,554.365262,0.512792,0.543307,C#5,right
6.875332,164.813778,0.225367,0.519685,E3,left
6.875332,369.994423,0.416439,0.511811,F#4,right
7.037008,207.652349,0.320087,0.511811,G#3,left
7.037008,311.126984,0.320087,0.535433,D#4,right
7.420786,164.813778,0.223734,0.543307,E3,left
7.580829,207.652349,0.383777,0.503937,G#3,left
7.580829,246.941651,0.351116,0.527559,B3,left
7.580829,311.126984,0.351116,0.543307,D#4,right
7.773534,415.304698,0.158410,0.559055,G#4,right
7.931945,246.941651,0.352749,0.527559,B3,left
7.931945,311.126984,0.385411,0.519685,D#4,right
7.931945,415.304698,0.576483,0.535433,G#4,right
7.964607,207.652349,0.320087,0.488189,G#3,left
8.284693,207.652349,0.736526,0.488189,G#3,left
8.284693,246.941651,0.416439,0.551181,B3,left
8.317355,164.813778,0.383777,0.503937,E3,left
8.317355,311.126984,0.956994,0.535433,D#4,right
8.508427,415.304698,1.110505,0.551181,G#4,right
8.668471,103.826174,0.289058,0.527559,G#2,left
9.021219,155.563492,0.253130,0.503937,D#3,left
9.021219,207.652349,0.347849,0.503937,G#3,left
9.021219,246.941651,0.282526,0.527559,B3,left
9.179630,622.253967,0.470331,0.503937,D#5,right
9.369069,155.563492,0.280892,0.496063,D#3,left
9.369069,207.652349,0.537288,0.511811,G#3,left
9.369069,246.941651,0.249864,0.527559,B3,left
9.555242,466.163762,0.736526,0.503937,A#4,right
9.747947,103.826174,0.094720,0.551181,G#2,left
9.906357,155.563492,0.191072,0.472441,D#3,left
10.097429,82.406889,0.320087,0.527559,E2,left
10.097429,164.813778,0.578116,0.527559,E3,left
10.097429,554.365262,0.225367,0.551181,C#5,right
10.259106,622.253967,0.416439,0.511811,D#5,right
10.450178,207.652349,0.352749,0.503937,G#3,left
10.450178,246.941651,0.256396,0.551181,B3,left
10.450178,311.126984,0.256396,0.559055,D#4,right
10.611854,932.327523,0.094720,0.503937,A#5,right
10.802926,207.652349,0.320087,0.488189,G#3,left
10.802926,246.941651,0.256396,0.535433,B3,left
10.833955,311.126984,0.256396,0.527559,D#4,right
10.833955,554.365262,0.161676,0.535433,C#5,right
10.962970,622.253967,0.287425,0.488189,D#5,right
11.154042,830.609395,0.289058,0.488189,G#5,right
11.186704,164.813778,0.161676,0.527559,E3,left
11.348380,207.652349,0.349482,0.496063,G#3,left
11.348380,246.941651,0.254763,0.527559,B3,left
11.348380,311.126984,0.254763,0.551181,D#4,right
11.348380,932.327523,0.094720,0.511811,A#5,right
0.009799,554.365262,0.191072,0.488189,C#5,right
0.200871,164.813778,0.192705,0.527559,E3,left
0.200871,622.253967,0.416439,0.433071,D#5,right
0.393576,207.652349,0.352749,0.511811,G#3,left
0.393576,246.941651,0.352749,0.527559,B3,left
0.393576,311.126984,0.352749,0.543307,D#4,right
0.553619,932.327523,0.097986,0.480315,A#5,right
0.746325,207.652349,0.352749,0.480315,G#3,left
0.746325,246.941651,0.352749,0.535433,B3,left
0.746325,311.126984,0.289058,0.535433,D#4,right
0.904735,622.253967,0.130648,0.472441,D#5,right
1.099073,164.813778,0.414806,0.511811,E3,left
1.099073,207.652349,0.736526,0.496063,G#3,left
1.099073,246.941651,0.447468,0.543307,B3,left
1.099073,311.126984,0.414806,0.535433,D#4,right
1.257483,932.327523,0.225367,0.464567,A#5,right
1.450189,554.365262,0.254763,0.543307,C#5,right
1.482851,103.826174,0.318454,0.527559,G#2,left
1.641261,622.253967,0.385411,0.511811,D#5,right
1.801304,246.941651,0.287425,0.527559,B3,left
1.835599,155.563492,0.285792,0.503937,D#3,left
1.835599,207.652349,0.349482,0.519685,G#3,left
1.835599,830.609395,0.222101,0.527559,G#5,right
