time,freq,dur,vel,name,hand
1.428570,659.255114,0.102041,0.748031,E5,right
1.530611,880.000000,0.102041,0.748031,A5,right
1.632652,195.997718,0.204081,0.708661,G3,left
1.632652,261.625565,0.204081,0.708661,C4,right
1.632652,329.627557,0.204081,0.708661,E4,right
1.632652,987.766603,0.102041,0.748031,B5,right
1.836734,195.997718,0.204081,0.708661,G3,left
1.836734,261.625565,0.204081,0.708661,C4,right
1.836734,329.627557,0.204081,0.708661,E4,right
2.040815,659.255114,0.102041,0.748031,E5,right
2.448978,739.988845,0.102041,0.748031,F#5,right
2.653059,184.997211,0.204081,0.708661,F#3,left
2.653059,246.941651,0.204081,0.708661,B3,left
2.653059,311.126984,0.204081,0.708661,D#4,right
2.857141,987.766603,0.102041,0.748031,B5,right
3.061222,659.255114,0.102041,0.748031,E5,right
3.265304,164.813778,0.204081,0.708661,E3,left
3.265304,195.997718,0.204081,0.708661,G3,left
3.265304,246.941651,0.204081,0.708661,B3,left
3.469386,164.813778,0.204081,0.708661,E3,left
3.469386,195.997718,0.204081,0.708661,G3,left
3.469386,246.941651,0.204081,0.708661,B3,left
3.469386,1174.659072,0.102041,0.748031,D6,right
4.285711,195.997718,0.204081,0.708661,G3,left
4.285711,246.941651,0.204081,0.708661,B3,left
4.285711,293.664768,0.204081,0.708661,D4,right
4.897956,195.997718,0.204081,0.708661,G3,left
4.897956,261.625565,0.204081,0.708661,C4,right
4.897956,329.627557,0.204081,0.708661,E4,right
4.897956,987.766603,0.102041,0.748031,B5,right
5.102037,195.997718,0.204081,0.708661,G3,left
5.102037,261.625565,0.204081,0.708661,C4,right
5.102037,329.627557,0.204081,0.708661,E4,right
5.306119,659.255114,0.102041,0.748031,E5,right
5.714282,739.988845,0.102041,0.748031,F#5,right
5.918363,184.997211,0.204081,0.708661,F#3,left
5.918363,246.941651,0.204081,0.708661,B3,left
5.918363,311.126984,0.204081,0.708661,D#4,right
6.122445,659.255114,0.102041,0.748031,E5,right
6.326526,493.883301,0.102041,0.748031,B4,right
6.530608,164.813778,0.204081,0.708661,E3,left
6.530608,195.997718,0.204081,0.708661,G3,left
6.530608,246.941651,0.204081,0.708661,B3,left
6.734689,164.813778,0.204081,0.708661,E3,left
6.734689,195.997718,0.204081,0.708661,G3,left
6.734689,246.941651,0.204081,0.708661,B3,left
7.551016,195.997718,0.204081,0.708661,G3,left
7.551016,246.941651,0.204081,0.708661,B3,left
7.551016,293.664768,0.204081,0.708661,D4,right
8.163260,195.997718,0.204081,0.708661,G3,left
8.163260,261.625565,0.204081,0.708661,C4,right
8.163260,329.627557,0.204081,0.708661,E4,right
8.163260,493.883301,0.204081,0.748031,B4,right
8.367342,195.997718,0.204081,0.708661,G3,left
8.367342,261.625565,0.204081,0.708661,C4,right
8.367342,329.627557,0.204081,0.708661,E4,right
8.367342,440.000000,0.204081,0.748031,A4,right
8.571423,493.883301,0.204081,0.748031,B4,right
8.775505,659.255114,0.204081,0.748031,E5,right
8.979586,739.988845,0.204081,0.748031,F#5,right
9.183668,184.997211,0.204081,0.708661,F#3,left
9.183668,246.941651,0.204081,0.708661,B3,left
9.183668,311.126984,0.204081,0.708661,D#4,right
9.387749,493.883301,0.204081,0.748031,B4,right
9.591831,659.255114,0.204081,0.748031,E5,right
9.795912,164.813778,0.204081,0.708661,E3,left
9.795912,195.997718,0.204081,0.708661,G3,left
9.795912,246.941651,0.204081,0.708661,B3,left
9.795912,739.988845,0.204081,0.748031,F#5,right
9.999994,164.813778,0.204081,0.708661,E3,left
9.999994,195.997718,0.204081,0.708661,G3,left
9.999994,246.941651,0.204081,0.708661,B3,left
10.204075,493.883301,0.204081,0.748031,B4,right
10.408157,739.988845,0.204081,0.748031,F#5,right
10.612238,783.990872,0.204081,0.748031,G5,right
10.816320,195.997718,0.204081,0.708661,G3,left
