time,freq,dur,vel,name
2.289,698.46,0.592,0.82,F5
2.88,103.83,0.452,0.55,G#2
2.88,207.65,0.452,0.65,G#3
2.88,261.63,0.452,0.72,C4
2.88,311.13,0.452,0.51,D#4
2.88,415.3,0.604,0.36,G#4
2.88,739.99,0.081,0.5,F#5
3.334,103.83,0.43,0.43,G#2
3.334,207.65,0.43,0.57,G#3
3.334,261.63,0.441,0.65,C4
3.334,311.13,0.441,0.56,D#4
3.762,103.83,0.209,0.48,G#2
3.762,207.65,0.291,0.69,G#3
3.762,415.3,0.269,0.4,G#4
3.775,261.63,0.28,0.72,C4
3.775,311.13,0.28,0.61,D#4
4.042,392.0,0.174,0.4,G4
4.055,196.0,0.441,0.66,G3
4.055,246.94,0.441,0.68,B3
4.055,293.66,0.441,0.55,D4
4.077,98.0,0.406,0.42,G2
4.321,739.99,0.07,0.48,F#5
4.367,392.0,0.116,0.43,G4
4.402,783.99,0.092,0.46,G5
4.496,98.0,0.162,0.39,G2
4.496,196.0,0.452,0.61,G3
4.496,246.94,0.36,0.58,B3
4.496,293.66,0.384,0.61,D4
4.496,392.0,0.301,0.39,G4
4.681,783.99,0.116,0.34,G5
4.936,261.63,1.151,0.62,C4
4.949,196.0,1.163,0.69,G3
4.949,311.13,1.163,0.5,D#4
4.949,392.0,0.197,0.36,G4
5.482,130.81,0.349,0.5,C3
5.506,659.26,0.07,0.54,E5
5.564,392.0,0.116,0.37,G4
5.587,698.46,0.5,0.64,F5
5.669,98.0,0.128,0.34,G2
5.831,392.0,0.188,0.31,G4
6.088,587.33,0.07,0.5,D5
6.111,196.0,0.882,0.72,G3
6.111,233.08,0.929,0.66,A#3
6.111,311.13,0.986,0.62,D#4
6.111,392.0,0.151,0.27,G4
6.111,466.16,0.151,0.33,A#4
6.169,622.25,0.255,0.48,D#5
6.992,196.0,0.395,0.66,G3
6.992,392.0,0.093,0.39,G4
7.144,523.25,0.186,0.68,C5
7.295,233.08,0.29,0.62,A#3
7.295,466.16,0.139,0.62,A#4
7.434,493.88,0.151,0.57,B4
7.585,103.83,0.431,0.47,G#2
7.585,207.65,0.431,0.61,G#3
7.585,261.63,0.442,0.71,C4
7.585,311.13,0.431,0.57,D#4
7.585,415.3,0.663,0.45,G#4
7.585,523.25,0.594,0.52,C5
8.016,103.83,0.441,0.43,G#2
8.016,207.65,0.453,0.61,G#3
8.016,311.13,0.453,0.62,D#4
8.027,261.63,0.441,0.63,C4
8.457,103.83,0.209,0.46,G#2
8.469,207.65,0.301,0.7,G#3
8.469,261.63,0.301,0.66,C4
8.469,311.13,0.301,0.6,D#4
8.469,415.3,0.232,0.31,G#4
8.469,622.25,0.174,0.36,D#5
8.759,98.0,0.453,0.5,G2
8.759,392.0,0.139,0.35,G4
8.759,698.46,0.279,0.57,F5
8.771,196.0,0.441,0.64,G3
8.771,246.94,0.441,0.62,B3
8.771,293.66,0.441,0.44,D4
9.061,622.25,0.244,0.5,D#5
9.072,392.0,0.116,0.35,G4
9.2,392.0,0.081,0.41,G4
9.211,98.0,0.255,0.35,G2
9.211,196.0,0.43,0.5,G3
9.211,246.94,0.232,0.54,B3
9.211,293.66,0.29,0.47,D4
9.34,698.46,0.174,0.63,F5
