time,freq,dur,vel,name,hand
1.666668,46.249303,0.104167,0.787402,F#1,left
1.666668,92.498606,0.104167,0.787402,F#2,left
1.666668,369.994423,0.104167,0.787402,F#4,right
1.666668,440.000000,0.104167,0.787402,A4,right
1.770835,46.249303,0.104167,0.787402,F#1,left
1.770835,92.498606,0.104167,0.787402,F#2,left
1.770835,369.994423,0.104167,0.787402,F#4,right
1.770835,440.000000,0.104167,0.787402,A4,right
1.875001,46.249303,0.104167,0.787402,F#1,left
1.875001,92.498606,0.104167,0.787402,F#2,left
1.875001,369.994423,0.104167,0.787402,F#4,right
1.875001,440.000000,0.104167,0.787402,A4,right
1.979168,46.249303,0.104167,0.787402,F#1,left
1.979168,92.498606,0.104167,0.787402,F#2,left
1.979168,369.994423,0.104167,0.787402,F#4,right
1.979168,440.000000,0.104167,0.787402,A4,right
2.083335,46.249303,0.104167,0.787402,F#1,left
2.083335,92.498606,0.104167,0.787402,F#2,left
2.083335,369.994423,0.104167,0.787402,F#4,right
2.083335,440.000000,0.104167,0.787402,A4,right
2.187502,46.249303,0.104167,0.787402,F#1,left
2.187502,92.498606,0.104167,0.787402,F#2,left
2.187502,369.994423,0.104167,0.787402,F#4,right
2.187502,440.000000,0.104167,0.787402,A4,right
2.291669,46.249303,0.104167,0.787402,F#1,left
2.291669,92.498606,0.104167,0.787402,F#2,left
2.291669,369.994423,0.104167,0.787402,F#4,right
2.291669,440.000000,0.104167,0.787402,A4,right
2.395835,46.249303,0.104167,0.787402,F#1,left
2.395835,92.498606,0.104167,0.787402,F#2,left
2.395835,369.994423,0.104167,0.787402,F#4,right
2.395835,440.000000,0.104167,0.787402,A4,right
2.500002,46.249303,0.104167,0.787402,F#1,left
2.500002,92.498606,0.104167,0.787402,F#2,left
2.500002,369.994423,0.104167,0.787402,F#4,right
2.500002,440.000000,0.104167,0.787402,A4,right
2.604169,46.249303,0.104167,0.787402,F#1,left
2.604169,92.498606,0.104167,0.787402,F#2,left
2.604169,369.994423,0.104167,0.787402,F#4,right
2.604169,440.000000,0.104167,0.787402,A4,right
2.708336,46.249303,0.104167,0.787402,F#1,left
2.708336,92.498606,0.104167,0.787402,F#2,left
2.708336,369.994423,0.104167,0.787402,F#4,right
2.708336,440.000000,0.104167,0.787402,A4,right
2.812502,46.249303,0.104167,0.787402,F#1,left
2.812502,92.498606,0.104167,0.787402,F#2,left
2.812502,369.994423,0.104167,0.787402,F#4,right
2.812502,440.000000,0.104167,0.787402,A4,right
2.916669,46.249303,0.104167,0.787402,F#1,left
2.916669,92.498606,0.104167,0.787402,F#2,left
2.916669,369.994423,0.104167,0.787402,F#4,right
2.916669,440.000000,0.104167,0.787402,A4,right
3.020836,46.249303,0.104167,0.787402,F#1,left
3.020836,92.498606,0.104167,0.787402,F#2,left
3.020836,369.994423,0.104167,0.787402,F#4,right
3.020836,440.000000,0.104167,0.787402,A4,right
3.125002,46.249303,0.104167,0.787402,F#1,left
3.125002,92.498606,0.104167,0.787402,F#2,left
3.125002,369.994423,0.104167,0.787402,F#4,right
3.125002,440.000000,0.104167,0.787402,A4,right
3.229169,46.249303,0.104167,0.787402,F#1,left
3.229169,92.498606,0.104167,0.787402,F#2,left
3.229169,369.994423,0.104167,0.787402,F#4,right
3.229169,440.000000,0.104167,0.787402,A4,right
3.333336,46.249303,0.104167,0.787402,F#1,left
3.333336,92.498606,0.104167,0.787402,F#2,left
3.333336,369.994423,0.104167,0.787402,F#4,right
3.333336,466.163762,0.104167,0.787402,A#4,right
3.437503,46.249303,0.104167,0.787402,F#1,left
3.437503,92.498606,0.104167,0.787402,F#2,left
3.437503,369.994423,0.104167,0.787402,F#4,right
3.437503,466.163762,0.104167,0.787402,A#4,right
3.541670,46.249303,0.104167,0.787402,F#1,left
3.541670,92.498606,0.104167,0.787402,F#2,left
3.541670,369.994423,0.104167,0.787402,F#4,right
3.541670,466.163762,0.104167,0.787402,A#4,right
3.645836,46.249303,0.104167,0.787402,F#1,left
3.645836,92.498606,0.104167,0.787402,F#2,left
3.645836,369.994423,0.104167,0.787402,F#4,right
3.645836,466.163762,0.104167,0.787402,A#4,right
3.750003,46.249303,0.104167,0.787402,F#1,left
3.750003,92.498606,0.104167,0.787402,F#2,left
3.750003,369.994423,0.104167,0.787402,F#4,right
3.750003,466.163762,0.104167,0.787402,A#4,right
3.854170,46.249303,0.104167,0.787402,F#1,left
3.854170,92.498606,0.104167,0.787402,F#2,left
3.854170,369.994423,0.104167,0.787402,F#4,right
3.854170,466.163762,0.104167,0.787402,A#4,right
3.958337,46.249303,0.104167,0.787402,F#1,left
3.958337,92.498606,0.104167,0.787402,F#2,left
3.958337,369.994423,0.104167,0.787402,F#4,right
3.958337,466.163762,0.104167,0.787402,A#4,right
4.062503,46.249303,0.104167,0.787402,F#1,left
4.062503,92.498606,0.104167,0.787402,F#2,left
4.062503,369.994423,0.104167,0.787402,F#4,right
4.062503,466.163762,0.104167,0.787402,A#4,right
4.479170,2959.955382,0.104167,0.787402,F#7,right
4.583337,2959.955382,0.104167,0.787402,F#7,right
4.791671,2959.955382,0.104167,0.787402,F#7,right
5.000004,61.735413,0.208334,0.787402,B1,left
5.000004,369.994423,0.208334,0.629921,F#4,right
5.000004,554.365262,0.208334,0.787402,C#5,right
5.208337,123.470825,0.208334,0.787402,B2,left
5.416671,61.735413,0.208334,0.787402,B1,left
5.416671,369.994423,0.416667,0.629921,F#4,right
5.416671,554.365262,0.416667,0.787402,C#5,right
5.625005,123.470825,0.208334,0.787402,B2,left
5.833338,61.735413,0.208334,0.787402,B1,left
5.833338,277.182631,0.104167,0.787402,C#4,right
5.833338,369.994423,0.104167,0.629921,F#4,right
6.041672,73.416192,0.104167,0.787402,D2,left
6.041672,277.182631,0.104167,0.787402,C#4,right
6.041672,369.994423,0.104167,0.629921,F#4,right
6.145838,73.416192,0.104167,0.787402,D2,left
6.145838,277.182631,0.104167,0.787402,C#4,right
6.145838,369.994423,0.104167,0.629921,F#4,right
6.250005,69.295658,0.208334,0.787402,C#2,left
6.250005,277.182631,0.208334,0.787402,C#4,right
6.250005,369.994423,0.208334,0.629921,F#4,right
6.458338,55.000000,0.208334,0.787402,A1,left
6.458338,246.941651,0.208334,0.787402,B3,left
6.458338,369.994423,0.208334,0.629921,F#4,right
6.666672,46.249303,0.208334,0.787402,F#1,left
6.666672,277.182631,0.208334,0.787402,C#4,right
6.666672,369.994423,0.208334,0.629921,F#4,right
6.875006,92.498606,0.208334,0.787402,F#2,left
6.875006,246.941651,0.208334,0.787402,B3,left
6.875006,329.627557,0.208334,0.629921,E4,right
7.083339,46.249303,0.208334,0.787402,F#1,left
7.083339,277.182631,0.104167,0.787402,C#4,right
7.083339,369.994423,0.104167,0.629921,F#4,right
7.291672,46.249303,0.104167,0.787402,F#1,left
7.291672,92.498606,0.104167,0.787402,F#2,left
7.291672,277.182631,0.104167,0.629921,C#4,right
7.291672,440.000000,0.104167,0.787402,A4,right
7.500006,46.249303,0.208334,0.787402,F#1,left
7.500006,92.498606,0.208334,0.787402,F#2,left
7.500006,277.182631,0.208334,0.629921,C#4,right
7.500006,440.000000,0.208334,0.787402,A4,right
7.708340,92.498606,0.104167,0.787402,F#2,left
7.812506,92.498606,0.104167,0.787402,F#2,left
7.916673,69.295658,0.208334,0.787402,C#2,left
7.916673,369.994423,0.416667,0.629921,F#4,right
7.916673,493.883301,0.416667,0.787402,B4,right
8.125006,46.249303,0.208334,0.787402,F#1,left
8.333340,48.999429,0.208334,0.787402,G1,left
8.333340,220.000000,0.208334,0.629921,A3,left
8.333340,293.664768,0.208334,0.787402,D4,right
8.541673,97.998859,0.208334,0.787402,G2,left
8.541673,220.000000,0.104167,0.629921,A3,left
8.541673,440.000000,0.104167,0.787402,A4,right
8.645840,293.664768,0.104167,0.629921,D4,right
8.645840,440.000000,0.104167,0.787402,A4,right
8.750007,48.999429,0.208334,0.787402,G1,left
8.750007,293.664768,0.208334,0.629921,D4,right
8.750007,440.000000,0.208334,0.787402,A4,right
8.958341,97.998859,0.208334,0.787402,G2,left
8.958341,293.664768,0.104167,0.629921,D4,right
8.958341,440.000000,0.104167,0.787402,A4,right
9.166674,48.999429,0.208334,0.787402,G1,left
9.166674,293.664768,0.208334,0.629921,D4,right
9.166674,440.000000,0.208334,0.787402,A4,right
9.375008,48.999429,0.104167,0.787402,G1,left
9.375008,369.994423,0.208334,0.629921,F#4,right
9.375008,493.883301,0.208334,0.787402,B4,right
9.479174,48.999429,0.104167,0.787402,G1,left
9.583341,97.998859,0.208334,0.787402,G2,left
9.583341,293.664768,0.208334,0.629921,D4,right
9.583341,440.000000,0.208334,0.787402,A4,right
9.791675,48.999429,0.104167,0.787402,G1,left
9.791675,293.664768,0.104167,0.629921,D4,right
9.791675,440.000000,0.104167,0.787402,A4,right
9.895841,48.999429,0.104167,0.787402,G1,left
9.895841,293.664768,0.104167,0.787402,D4,right
9.895841,329.627557,0.104167,0.629921,E4,right
10.000008,55.000000,0.208334,0.787402,A1,left
10.000008,110.000000,0.208334,0.787402,A2,left
10.000008,277.182631,0.208334,0.787402,C#4,right
10.000008,329.627557,0.208334,0.629921,E4,right
10.208341,55.000000,0.104167,0.787402,A1,left
10.208341,329.627557,0.208334,0.629921,E4,right
10.208341,440.000000,0.208334,0.787402,A4,right
10.312508,55.000000,0.104167,0.787402,A1,left
10.416675,55.000000,0.208334,0.787402,A1,left
10.416675,110.000000,0.208334,0.787402,A2,left
10.416675,329.627557,0.208334,0.629921,E4,right
10.416675,440.000000,0.208334,0.787402,A4,right
10.625008,55.000000,0.104167,0.787402,A1,left
10.625008,277.182631,0.104167,0.787402,C#4,right
10.625008,329.627557,0.104167,0.629921,E4,right
10.729175,55.000000,0.104167,0.787402,A1,left
10.729175,277.182631,0.104167,0.787402,C#4,right
10.729175,329.627557,0.104167,0.629921,E4,right
10.833342,58.270470,0.208334,0.787402,A#1,left
10.833342,116.540940,0.208334,0.787402,A#2,left
10.833342,277.182631,0.104167,0.787402,C#4,right
10.833342,369.994423,0.104167,0.629921,F#4,right
11.041676,58.270470,0.104167,0.787402,A#1,left
11.041676,369.994423,0.208334,0.629921,F#4,right
11.041676,440.000000,0.208334,0.787402,A4,right
11.145842,58.270470,0.104167,0.787402,A#1,left
11.250009,58.270470,0.208334,0.787402,A#1,left
11.250009,116.540940,0.208334,0.787402,A#2,left
11.250009,277.182631,0.104167,0.629921,C#4,right
11.250009,369.994423,0.104167,0.787402,F#4,right
11.458343,58.270470,0.104167,0.787402,A#1,left
11.458343,277.182631,0.208334,0.629921,C#4,right
11.458343,369.994423,0.208334,0.787402,F#4,right
11.562509,58.270470,0.104167,0.787402,A#1,left
11.666676,61.735413,0.208334,0.787402,B1,left
11.666676,369.994423,0.208334,0.629921,F#4,right
11.666676,554.365262,0.208334,0.787402,C#5,right
11.875010,123.470825,0.208334,0.787402,B2,left
12.083343,61.735413,0.208334,0.787402,B1,left
12.083343,369.994423,0.416667,0.629921,F#4,right
12.083343,554.365262,0.416667,0.787402,C#5,right
12.291676,123.470825,0.208334,0.787402,B2,left
12.500010,61.735413,0.208334,0.787402,B1,left
12.500010,277.182631,0.312500,0.787402,C#4,right
12.500010,440.000000,0.312500,0.629921,A4,right
12.708343,73.416192,0.104167,0.787402,D2,left
12.812510,73.416192,0.104167,0.787402,D2,left
12.812510,277.182631,0.104167,0.787402,C#4,right
12.812510,440.000000,0.104167,0.629921,A4,right
12.916677,69.295658,0.208334,0.787402,C#2,left
12.916677,277.182631,0.208334,0.787402,C#4,right
12.916677,440.000000,0.208334,0.629921,A4,right
13.125011,55.000000,0.208334,0.787402,A1,left
13.125011,246.941651,0.208334,0.787402,B3,left
13.125011,369.994423,0.208334,0.629921,F#4,right
0.000000,46.249303,0.208334,0.787402,F#1,left
0.000000,277.182631,0.208334,0.787402,C#4,right
0.000000,369.994423,0.208334,0.629921,F#4,right
0.208334,92.498606,0.208334,0.787402,F#2,left
0.208334,246.941651,0.104167,0.787402,B3,left
0.208334,369.994423,0.104167,0.629921,F#4,right
0.416667,46.249303,0.208334,0.787402,F#1,left
0.416667,246.941651,0.104167,0.787402,B3,left
0.416667,329.627557,0.104167,0.629921,E4,right
0.625001,46.249303,0.104167,0.787402,F#1,left
0.625001,92.498606,0.104167,0.787402,F#2,left
0.625001,369.994423,0.104167,0.629921,F#4,right
0.625001,587.329536,0.104167,0.787402,D5,right
0.833334,46.249303,0.208334,0.787402,F#1,left
