time,freq,dur,vel,name,hand
1.500000,220.000000,0.500000,0.401575,A3,left
1.500000,440.000000,0.500000,0.401575,A4,right
2.000000,73.416192,0.250000,0.401575,D2,left
2.250000,146.832384,0.125000,0.401575,D3,left
2.375000,130.812783,0.125000,0.401575,C3,left
2.500000,73.416192,0.062500,0.401575,D2,left
2.625000,97.998859,0.125000,0.401575,G2,left
2.750000,73.416192,0.250000,0.401575,D2,left
3.000000,82.406889,0.250000,0.401575,E2,left
3.250000,164.813778,0.125000,0.401575,E3,left
3.375000,146.832384,0.125000,0.401575,D3,left
3.500000,82.406889,0.062500,0.401575,E2,left
3.625000,164.813778,0.125000,0.401575,E3,left
3.750000,82.406889,0.250000,0.401575,E2,left
4.000000,55.000000,0.250000,0.401575,A1,left
4.250000,110.000000,0.125000,0.401575,A2,left
4.375000,97.998859,0.125000,0.401575,G2,left
4.500000,55.000000,0.062500,0.401575,A1,left
4.625000,110.000000,0.125000,0.401575,A2,left
4.750000,55.000000,0.250000,0.401575,A1,left
5.000000,55.000000,0.125000,0.401575,A1,left
5.125000,55.000000,0.125000,0.401575,A1,left
5.375000,55.000000,0.062500,0.401575,A1,left
5.500000,97.998859,0.125000,0.401575,G2,left
5.625000,110.000000,0.375000,0.401575,A2,left
6.000000,73.416192,0.250000,0.401575,D2,left
6.250000,146.832384,0.125000,0.401575,D3,left
6.375000,130.812783,0.125000,0.401575,C3,left
6.500000,73.416192,0.062500,0.401575,D2,left
6.625000,97.998859,0.125000,0.401575,G2,left
6.750000,73.416192,0.250000,0.401575,D2,left
7.000000,82.406889,0.250000,0.401575,E2,left
7.250000,164.813778,0.125000,0.401575,E3,left
7.375000,146.832384,0.125000,0.401575,D3,left
7.500000,82.406889,0.062500,0.401575,E2,left
7.625000,164.813778,0.125000,0.401575,E3,left
7.750000,82.406889,0.250000,0.401575,E2,left
8.000000,55.000000,0.250000,0.401575,A1,left
8.250000,110.000000,0.125000,0.401575,A2,left
8.375000,97.998859,0.125000,0.401575,G2,left
8.500000,55.000000,0.062500,0.401575,A1,left
8.625000,110.000000,0.125000,0.401575,A2,left
8.750000,55.000000,0.250000,0.401575,A1,left
9.250000,48.999429,0.125000,0.401575,G1,left
9.375000,55.000000,0.625000,0.401575,A1,left
10.000000,73.416192,0.250000,0.401575,D2,left
10.000000,174.614116,0.500000,0.401575,F3,left
10.000000,220.000000,0.500000,0.401575,A3,left
10.250000,146.832384,0.125000,0.401575,D3,left
10.375000,130.812783,0.125000,0.401575,C3,left
10.500000,73.416192,0.062500,0.401575,D2,left
10.625000,97.998859,0.125000,0.401575,G2,left
10.625000,195.997718,0.125000,0.401575,G3,left
10.750000,73.416192,0.250000,0.401575,D2,left
10.750000,220.000000,0.125000,0.401575,A3,left
10.875000,261.625565,0.125000,0.401575,C4,right
11.000000,82.406889,0.250000,0.401575,E2,left
11.000000,207.652349,0.500000,0.401575,G#3,left
11.000000,293.664768,0.500000,0.401575,D4,right
11.000000,391.995436,0.500000,0.401575,G4,right
11.250000,164.813778,0.125000,0.401575,E3,left
11.375000,146.832384,0.125000,0.401575,D3,left
11.500000,82.406889,0.062500,0.401575,E2,left
11.625000,164.813778,0.125000,0.401575,E3,left
11.625000,164.813778,0.125000,0.401575,E3,left
11.750000,82.406889,0.250000,0.401575,E2,left
11.750000,195.997718,0.125000,0.401575,G3,left
11.875000,220.000000,0.125000,0.401575,A3,left
12.000000,55.000000,0.250000,0.401575,A1,left
12.250000,110.000000,0.125000,0.401575,A2,left
12.250000,220.000000,0.125000,0.401575,A3,left
12.375000,97.998859,0.125000,0.401575,G2,left
12.500000,55.000000,0.062500,0.401575,A1,left
12.625000,110.000000,0.125000,0.401575,A2,left
12.625000,195.997718,0.125000,0.401575,G3,left
12.750000,55.000000,0.250000,0.401575,A1,left
12.750000,146.832384,0.125000,0.401575,D3,left
12.875000,164.813778,0.125000,0.401575,E3,left
13.000000,55.000000,0.125000,0.401575,A1,left
