time,freq,dur,vel,name,hand
0.243356,261.625565,0.127972,0.519685,C4,right
0.243356,349.228231,0.096503,0.519685,F4,right
0.339860,349.228231,0.255944,0.519685,F4,right
0.339860,415.304698,0.255944,0.559055,G#4,right
0.371328,261.625565,0.224475,0.503937,C4,right
0.595804,69.295658,0.438461,0.496063,C#2,left
0.595804,261.625565,0.094406,0.543307,C4,right
0.595804,349.228231,0.094406,0.527559,F4,right
0.595804,415.304698,0.312587,0.574803,G#4,right
0.690209,261.625565,0.125874,0.519685,C4,right
0.690209,349.228231,0.125874,0.527559,F4,right
0.816083,261.625565,0.121678,0.511811,C4,right
0.816083,349.228231,0.092308,0.503937,F4,right
0.908391,138.591315,0.125874,0.543307,C#3,left
0.908391,349.228231,0.155245,0.559055,F4,right
0.908391,415.304698,0.444755,0.566929,G#4,right
0.937761,261.625565,0.193007,0.511811,C4,right
1.831467,65.406391,0.258042,0.519685,C2,left
1.831467,233.081881,0.130070,0.559055,A#3,left
1.831467,329.627557,0.610489,0.566929,E4,right
1.831467,415.304698,0.161538,0.582677,G#4,right
1.961537,130.812783,0.222377,0.535433,C3,left
1.961537,233.081881,0.127972,0.527559,A#3,left
1.993005,415.304698,0.448951,0.543307,G#4,right
2.089508,65.406391,0.224475,0.488189,C2,left
2.089508,233.081881,0.320979,0.519685,A#3,left
2.183914,130.812783,0.161538,0.527559,C3,left
2.410487,233.081881,0.125874,0.535433,A#3,left
2.441956,65.406391,0.190909,0.511811,C2,left
2.441956,329.627557,0.094406,0.519685,E4,right
2.441956,415.304698,0.094406,0.582677,G#4,right
2.536361,130.812783,0.224475,0.535433,C3,left
2.536361,233.081881,0.127972,0.503937,A#3,left
2.536361,329.627557,0.383916,0.519685,E4,right
2.536361,415.304698,0.448951,0.543307,G#4,right
2.632864,65.406391,0.224475,0.488189,C2,left
2.664333,233.081881,0.096503,0.511811,A#3,left
2.760836,130.812783,0.127972,0.519685,C3,left
2.760836,233.081881,0.127972,0.519685,A#3,left
3.698598,87.307058,0.258042,0.503937,F2,left
3.698598,261.625565,0.258042,0.551181,C4,right
3.698598,391.995436,0.258042,0.535433,G4,right
3.956639,87.307058,0.478321,0.456693,F2,left
3.956639,261.625565,0.222377,0.535433,C4,right
3.956639,391.995436,0.574825,0.511811,G4,right
4.179017,174.614116,0.576923,0.488189,F3,left
4.179017,261.625565,0.352447,0.511811,C4,right
4.434961,87.307058,0.895803,0.480315,F2,left
4.531464,261.625565,0.224475,0.511811,C4,right
4.531464,391.995436,0.574825,0.511811,G4,right
4.755939,174.614116,1.697201,0.488189,F3,left
4.755939,261.625565,0.222377,0.527559,C4,right
4.978317,261.625565,0.352447,0.551181,C4,right
5.106289,311.126984,0.576923,0.503937,D#4,right
5.106289,391.995436,1.413985,0.543307,G4,right
5.330764,87.307058,1.025873,0.480315,F2,left
5.330764,261.625565,0.994405,0.543307,C4,right
5.555239,77.781746,0.255944,0.551181,D#2,left
5.555239,277.182631,0.255944,0.566929,C#4,right
5.555239,349.228231,0.255944,0.559055,F4,right
5.811183,77.781746,0.224475,0.519685,D#2,left
5.811183,277.182631,0.224475,0.543307,C#4,right
5.811183,349.228231,0.224475,0.511811,F4,right
5.811183,415.304698,0.224475,0.551181,G#4,right
6.035658,77.781746,0.547552,0.519685,D#2,left
6.035658,277.182631,0.222377,0.511811,C#4,right
6.035658,349.228231,0.222377,0.535433,F4,right
6.035658,415.304698,0.222377,0.543307,G#4,right
6.258036,277.182631,0.293706,0.559055,C#4,right
6.258036,349.228231,0.262238,0.535433,F4,right
6.258036,415.304698,0.226573,0.535433,G#4,right
6.484609,103.826174,0.551748,0.543307,G#2,left
6.484609,311.126984,0.551748,0.527559,D#4,right
6.484609,415.304698,0.616783,0.566929,G#4,right
6.520273,261.625565,0.549650,0.551181,C4,right
7.382510,69.295658,0.497202,0.527559,C#2,left
7.382510,622.253967,0.279021,0.551181,D#5,right
7.413979,830.609395,0.247552,0.574803,G#5,right
7.661531,138.591315,0.442657,0.519685,C#3,left
7.661531,622.253967,0.218182,0.519685,D#5,right
7.661531,830.609395,0.218182,0.566929,G#5,right
7.879712,69.295658,0.939859,0.456693,C#2,left
7.879712,622.253967,0.224475,0.511811,D#5,right
7.879712,830.609395,0.455244,0.566929,G#5,right
8.104188,138.591315,0.459440,0.527559,C#3,left
8.104188,622.253967,0.230769,0.535433,D#5,right
8.104188,783.990872,0.620978,0.574803,G5,right
8.334957,622.253967,0.228671,0.496063,D#5,right
8.334957,830.609395,0.354545,0.582677,G#5,right
8.563628,138.591315,0.451049,0.527559,C#3,left
8.563628,622.253967,0.681817,0.527559,D#5,right
8.563628,932.327523,0.224475,0.559055,A#5,right
8.689502,830.609395,0.555944,0.566929,G#5,right
8.819572,69.295658,0.459440,0.480315,C#2,left
9.014676,138.591315,0.486713,0.566929,C#3,left
9.245445,622.253967,0.159440,0.503937,D#5,right
9.245445,830.609395,0.255944,0.543307,G#5,right
